Fingerprint,depth,nbits,Accuracy,Precision,Recall,F1,AUC,AUC > random chance p-value
PubChem (881 bits),NA,881,0.905 (0.895-0.914),0.907 (0.895-0.920),0.903 (0.894-0.912),0.905 (0.896-0.914),0.962 (0.956-0.968),1.76E-17
MACCS 166,NA,166,0.886 (0.875-0.896),0.897 (0.886-0.908),0.873 (0.860-0.887),0.885 (0.874-0.896),0.957 (0.949-0.966),4.41E-16
Extended d15 262k,15,262144,0.874 (0.862-0.887),0.868 (0.849-0.886),0.887 (0.875-0.898),0.877 (0.865-0.888),0.948 (0.942-0.954),1.45E-17
Path-based d30 262k (paper),30,262144,0.868 (0.854-0.883),0.874 (0.854-0.894),0.864 (0.848-0.880),0.869 (0.855-0.883),0.950 (0.944-0.956),1.75E-17
Graph 4k,NA,4096,0.820 (0.809-0.832),0.866 (0.851-0.882),0.761 (0.746-0.776),0.810 (0.797-0.823),0.864 (0.857-0.871),4.43E-16
